Airline,Journey_month,Journey_year,Source,Destination,Route,Dep_Time,Arrival_Time,Duration_Hours,Duration_Minutes,Duration_In_Minutes,Total_Stops,Price_rupee,Log_price,Class,Additional_Info
IndiGo,3,2019,Banglore,New Delhi,BLR → DEL,22:20,01:10,2.0,50.0,170.0,0.0,3897,8.26796230533871,Economy,No info
Air India,5,2019,Kolkata,Banglore,CCU → IXR → BBI → BLR,05:50,13:15,7.0,25.0,445.0,2.0,7662,8.944028325260595,Economy,No info
Jet Airways,6,2019,Delhi,Cochin,DEL → LKO → BOM → COK,09:25,04:25,19.0,0.0,1140.0,2.0,13882,9.53834831589953,Business,No info
IndiGo,5,2019,Kolkata,Banglore,CCU → NAG → BLR,18:05,23:30,5.0,25.0,325.0,1.0,6218,8.735203590618699,Economy,No info
IndiGo,3,2019,Banglore,New Delhi,BLR → NAG → DEL,16:50,21:35,4.0,45.0,285.0,1.0,13302,9.495669678844367,Business,No info
SpiceJet,6,2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2.0,25.0,145.0,0.0,3873,8.261784679514752,Economy,No info
Jet Airways,3,2019,Banglore,New Delhi,BLR → BOM → DEL,18:55,10:25,15.0,30.0,930.0,1.0,11087,9.313528529772352,Economy,In-flight meal not included
Jet Airways,3,2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,05:05,21.0,5.0,1265.0,1.0,22270,10.010995760251413,Business,No info
Jet Airways,3,2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,10:25,25.0,30.0,1530.0,1.0,11087,9.313528529772352,Economy,In-flight meal not included
Multiple carriers,5,2019,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,7.0,50.0,470.0,1.0,8625,9.062420241899561,Economy,No info
Air India,6,2019,Delhi,Cochin,DEL → BLR → COK,09:45,23:00,13.0,15.0,795.0,1.0,8907,9.09459276343187,Economy,No info
IndiGo,4,2019,Kolkata,Banglore,CCU → BLR,20:20,22:55,2.0,35.0,155.0,0.0,4174,8.336630087637147,Economy,No info
Air India,6,2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,2.0,15.0,135.0,0.0,4667,8.448271745949816,Economy,No info
Jet Airways,5,2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,09:20,12.0,10.0,730.0,1.0,9663,9.176059437999308,Economy,In-flight meal not included
IndiGo,4,2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,2.0,35.0,155.0,0.0,4804,8.477204183199873,Economy,No info
Air India,3,2019,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15,26.0,35.0,1595.0,2.0,14011,9.547598014371232,Business,No info
SpiceJet,4,2019,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4.0,30.0,270.0,1.0,5830,8.670772279344538,Economy,No info
Jet Airways,6,2019,Delhi,Cochin,DEL → BOM → COK,14:00,12:35,22.0,35.0,1355.0,1.0,10262,9.23620303150191,Economy,In-flight meal not included
Air India,6,2019,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,19:15,23.0,0.0,1380.0,2.0,13381,9.50159106930499,Business,No info
Jet Airways,5,2019,Delhi,Cochin,DEL → BOM → COK,16:00,12:35,20.0,35.0,1235.0,1.0,12898,9.464827539570322,Business,In-flight meal not included
GoAir,3,2019,Delhi,Cochin,DEL → BOM → COK,14:10,19:20,5.0,10.0,310.0,1.0,19495,9.877913301416697,Business,No info
Air India,3,2019,Banglore,New Delhi,BLR → COK → DEL,22:00,13:20,15.0,20.0,920.0,1.0,6955,8.847216104357543,Economy,No info
IndiGo,4,2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2.0,50.0,170.0,0.0,3943,8.279697133877628,Economy,No info
IndiGo,5,2019,Banglore,Delhi,BLR → DEL,18:55,21:50,2.0,55.0,175.0,0.0,4823,8.481151420068972,Economy,No info
Jet Airways,5,2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,08:15,13.0,20.0,800.0,1.0,7757,8.956350940490871,Economy,In-flight meal not included
Jet Airways,6,2019,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,12:35,15.0,10.0,910.0,2.0,13292,9.494917629474484,Business,No info
IndiGo,6,2019,Delhi,Cochin,DEL → LKO → COK,21:50,03:35,5.0,45.0,345.0,1.0,8238,9.016512874996026,Economy,No info
GoAir,5,2019,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5.0,55.0,355.0,1.0,7682,8.94663520890585,Economy,No info
Vistara,6,2019,Banglore,Delhi,BLR → DEL,09:45,12:35,2.0,50.0,170.0,0.0,4668,8.448485993406447,Economy,No info
Vistara,6,2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2.0,15.0,135.0,0.0,3687,8.212568398234145,Economy,No info
Vistara,6,2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2.0,15.0,135.0,0.0,3687,8.212568398234145,Economy,No info
Air India,5,2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,23:15,13.0,25.0,805.0,2.0,13227,9.490015474026047,Business,No info
IndiGo,4,2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2.0,50.0,170.0,0.0,4423,8.394573477868327,Economy,No info
Jet Airways,6,2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,12:35,22.0,0.0,1320.0,2.0,10919,9.298259670014065,Economy,In-flight meal not included
Jet Airways,5,2019,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,5.0,30.0,330.0,1.0,12373,9.423271958213975,Business,In-flight meal not included
IndiGo,6,2019,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10.0,25.0,625.0,1.0,5894,8.68169016329764,Economy,No info
SpiceJet,5,2019,Kolkata,Banglore,CCU → MAA → BLR,15:05,20:20,5.0,15.0,315.0,1.0,4649,8.444407421690585,Economy,No info
Air India,5,2019,Kolkata,Banglore,CCU → BLR,14:15,16:45,2.0,30.0,150.0,0.0,6245,8.739536422559677,Economy,No info
Jet Airways,3,2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,13:15,6.0,15.0,375.0,1.0,19225,9.863966794373844,Business,No info
Jet Airways,6,2019,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11.0,55.0,715.0,1.0,14924,9.610725934341048,Business,No info
Multiple carriers,5,2019,Delhi,Cochin,DEL → HYD → COK,07:05,18:10,11.0,5.0,665.0,1.0,9646,9.174298600628918,Economy,No info
Air India,3,2019,Banglore,New Delhi,BLR → BOM → DEL,06:45,15:15,8.0,30.0,510.0,1.0,8714,9.072686206677387,Economy,No info
Jet Airways,5,2019,Delhi,Cochin,DEL → BOM → COK,20:55,19:00,22.0,5.0,1325.0,1.0,12373,9.423271958213975,Business,In-flight meal not included
Air Asia,5,2019,Banglore,Delhi,BLR → DEL,11:10,13:55,2.0,45.0,165.0,0.0,3383,8.12651816878071,Economy,No info
Multiple carriers,3,2019,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,12.0,0.0,720.0,1.0,13062,9.477462530462603,Business,No info
SpiceJet,3,2019,Banglore,New Delhi,BLR → DEL,05:45,08:35,2.0,50.0,170.0,0.0,3527,8.168202930236053,Economy,No check-in baggage included
IndiGo,5,2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2.0,50.0,170.0,0.0,3943,8.279697133877628,Economy,No info
Air India,5,2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,2.0,15.0,135.0,0.0,4667,8.448271745949816,Economy,No info
Air India,5,2019,Kolkata,Banglore,CCU → HYD → BLR,19:00,11:05,16.0,5.0,965.0,1.0,6117,8.718827059242566,Economy,No info
Jet Airways,6,2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00,19.0,55.0,1195.0,2.0,11150,9.319194776888265,Economy,In-flight meal not included
Jet Airways,3,2019,Delhi,Cochin,DEL → COK,11:00,14:15,3.0,15.0,195.0,0.0,7202,8.882114044208821,Economy,In-flight meal not included
Jet Airways,5,2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,10:55,25.0,20.0,1520.0,1.0,12121,9.402694764470512,Business,No info
IndiGo,3,2019,Banglore,New Delhi,BLR → DEL,22:20,01:10,2.0,50.0,170.0,0.0,4377,8.384118837190895,Economy,No info
IndiGo,6,2019,Banglore,Delhi,BLR → DEL,21:15,00:15,3.0,0.0,180.0,0.0,3943,8.279697133877628,Economy,No info
